Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
Espírito Santo do Pinhal ,"Praça Irmão Estevão Von Herkhnuizen, S/N - Jardim das Rosas  - Espírito Santo do Pinhal   13990-000 ","Praça Irmão Estevão Von Herkhnuizen, S/N - Jardim das Rosas  - Espírito Santo do Pinhal   13990-000 ",15,15
Estiva Gerbi ,"R. José Rodrigues dos Santos, 271 - São José II - Estiva Gerbi - 13857-000 ","R. José Rodrigues dos Santos, 271 - São José II - Estiva Gerbi - 13857-000 ",10,10
Fartura ,"R. Santa Maria, 60 - Vila Nossa Senhora de Fátima - Fartura - 18870-000 ","R. Santa Maria, 60 - Vila Nossa Senhora de Fátima - Fartura - 18870-000 ",10,10
Fernandópolis ,"Av. Litério Grecco, 300 - Jardim São Fernando - Fernandópolis - 15600-000 ","Av. Litério Grecco, 300 - Jardim São Fernando - Fernandópolis - 15600-000 ",25,25
Flora Rica ,"R. Verador Raimundo Antônio de Araújo, 416 - Centro - Flora Rica   17870-000 ","R. Verador Raimundo Antônio de Araújo, 416 - Centro - Flora Rica   17870-000 ",10,10
Flórida Paulista ,"Av. dos Expedicionários, 190 - Centro - Flórida Paulista - 17830- 000 ","Av. dos Expedicionários, 190 - Centro - Flórida Paulista - 17830- 000 ",10,10
Franca ,"Av. Champagnat, 1808 - Centro - Franca   14400-320 ","Av. Champagnat, 1808 - Centro - Franca   14400-320 ",50,50
Francisco Morato ,"R. Virgílio Martins de Oliveira, 824 - Vila Heloísa - Francisco Morato   07914-043 ","R. Virgílio Martins de Oliveira, 824 - Vila Heloísa - Francisco Morato   07914-043 ",40,40
Franco da Rocha ,"R. Cinco de Maio, 97 - Vila Maggi - Franco da Rocha - 07850- 300 ","R. Cinco de Maio, 97 - Vila Maggi - Franco da Rocha - 07850- 300 ",40,40
Garça ,"R. Padre Paulo de Toledo Leite, 411 - Ferrarópolis - Garça - 17400-000 ","R. Padre Paulo de Toledo Leite, 411 - Ferrarópolis - Garça - 17400-000 ",15,15
Gavião Peixoto ,"Alameda Serez, 495 - Centro - Gavião Peixoto   14813-000 ","Alameda Serez, 495 - Centro - Gavião Peixoto   14813-000 ",10,10
Guaíra ,"Av. 1A, 2000 - Conjunto Habitacional Prefeito José Pugliesi - Guaíra   14790-000 ","Av. 1A, 2000 - Conjunto Habitacional Prefeito José Pugliesi - Guaíra   14790-000 ",15,15
Guapiaçu ,"R. Alfredo de Souza Barbeiro, 280 - Ribeirão Claro - Guapiaçu - 15110-000 ","R. Alfredo de Souza Barbeiro, 280 - Ribeirão Claro - Guapiaçu - 15110-000 ",10,10
Guara,"R. João Carlos Figueiredo, 11 - Centro - Guara   14580-000 ","R. João Carlos Figueiredo, 11 - Centro - Guara   14580-000 ",10,10
